#	id	file_path	transparent_color_r	g	b
[TEXTURES]
1	resource\textures\mario.png	255	255	255
2	resource\textures\enemies.png	68	145	190
3	resource\textures\items-objects.png	255	255	255
5	resource\textures\title.png	255	255	255
-100	resource\textures\bbox.png	255	255	255

#	id	left	top	right	bottom	texture_id
[SPRITES]
# === SMALL MARIO ===
# idle right
401	216	88	229	105	1
411	176	88	189	105	1
# walk
402	255	88	271	105	1
412	134	88	150	105	1
# jump
403	334	88	351	105	1
413	54	88	71	105	1
# last walk
501	215	128	230	145	1
511	175	128	190	145	1
#kick
502	254	128	271	145	1
512	134	128	151	145	1
# run
601	214	168	231	185	1
602	254	168	271	185	1
611	174	168	191	185	1
612	134	168	151	185	1
# pick
603	335	168	350	185	1
604	375	168	391	185	1
613	55	168	70	185	1
614	14	168	30	185	1
# run fly
701	214	208	231	225	1
711	174	208	191	225	1
# die
705	374	208	391	225	1
715	14	208	31	225	1


# ==== BIG MARIO ====
# idle right
801	215	242	230	270	1
811	175	242	190	270	1
# walk
802	254	242	271	270	1
803	294	243	311	270	1
812	134	242	151	270	1
813	94	243	111	270	1
# jump
804	334	243	351	270	1
814	55	243	71	270	1
# sit
805	375	243	391	270	1
815	15	243	30	270	1
# last walk
901	214	282	231	311	1
911	174	282	191	311	1
# kick
902	251	282	274	311	1
912	132	282	152	311	1
# run
10001	212	322	232	350	1
10002	252	322	272	350	1
10003	292	322	312	350	1
10101	171	322	193	350	1
10102	133	322	153	350	1
10103	93	322	113	350	1
# pick
10004	330	322	345	350	1
10005	355	322	371	350	1
10006	380	322	396	350	1
10104	60	322	75	350	1
10105	34	322	50	350	1
10106	9	322	25	350	1
# run fly
11003	332	363	352	390	1
11103	53	363	73	390	1


# ==== MARIO RACCOON ====
# idle
13001	211	442	233	471	1
13101	184	442	206	471	1
# walk
13003	285	442	308	471	1
13004	313	442	337	471	1
13103	101	442	124	471	1
13104	69	442	93	471	1
# jump
13005	343	442	367	471	1
13105	44	442	68	471	1
# sit
13006	371	442	394	471	1
13106	11	442	34	471	1
# whipping
13301	209	442	233	471	1
13302	235	442	259	471	1
13303	347	482	371	511	1
13304	137	442	170	471	1
13305	382	482	406	511	1
13401	176	442	206	471	1
13402	138	442	170	471	1
13403	348	482	371	511	1
13404	235	442	259	471	1
13405	380	482	406	511	1
# last walk
14001	214	481	231	512	1
14101	174	481	191	512	1
# kick
14002	246	481	269	512	1
14102	136	481	159	512	1
# run 
15001	210	522	235	551	1
15002	250	522	275	551	1
15003	290	522	315	551	1
15101	170	522	196	551	1
15102	130	522	155	551	1
15103	90	522	115	551	1
# pick
15004	321	522	343	551	1
15005	350	522	373	551	1
15006	380	522	404	551	1
15104	62	522	84	551	1
15105	32	522	55	551	1
15106	1	522	26	551	1
# fall 
17001	210	602	234	630	1
17101	171	602	195	630	1
# fall whip
17002	251	602	274	631	1
17102	131	602	154	631	1
# fall fly
17003	290	602	315	631	1
17103	90	602	115	631	1
# run fly
17004	330	602	356	630	1
17104	50	602	75	630	1
# fly
17005	370	602	395	630	1
17105	10	602	35	630	1


# ==== MARIO FIRE ====
# idle right
19001	215	682	229	710	1
19101	176	682	190	710	1
# walk
19002	255	682	271	710	1
19003	294	682	311	710	1
19102	134	682	151	710	1
19103	94	682	111	710	1
# jump
19004	334	682	351	710	1
19104	54	682	72	710	1
# sit
19005	375	682	390	710	1
19105	15	682	30	710	1
# last walk
20001	214	722	231	751	1
20101	174	722	191	751	1	
# kick
20002	251	722	273	751	1
20102	132	722	154	751	1
# run
21001	212	762	232	790	1
21002	252	762	272	790	1
21003	292	762	312	790	1
21101	173	762	193	790	1
21102	133	762	153	790	1
21103	93	762	113	790	1
# pick
21004	330	762	345	790	1
21005	355	762	371	790	1
21006	379	762	396	790	1
21104	60	762	75	790	1
21105	34	762	50	790	1
21106	9	762	26	790	1
# run fly
22003	332	802	352	830	1
22103	53	802	73	830	1
# stand fire
22004	365	802	380	830	1
22005	385	802	400	830	1	
22104	25	802	40	830	1
22105	5	802	20	830	1
# jump fire
22001	252	802	272	830	1
22002	293	802	312	830	1
22101	133	802	153	830	1
22102	93	802	112	830	1


# ==== FIRE ====
# right
10	255	2	264	12	2
11	263	2	272	12	2
12	271	2	280	12	2
13	279	2	287	12	2
